ARAB	59	23w	Ind Adv Study Arab Lang&Lit	ARR	Christopher MacEvitt	NW	LIT	N/A	N/A	N/A
ARTH	1	22f	Bodies and Buildings	11	Nicola Camerlenghi, Steven Kangas	W	ART	N/A	N/A	N/A
ARTH	2	23w	Intro History of Art II	11	Katherine Hornstein, Joy Kenseth	W	ART	N/A	N/A	N/A
ARTH	7.02	22s	Paris in the 19th Century	12	Kristin O'Rourke	N/A	N/A	N/A	N/A	N/A
ARTH	7.05	23w	Pompeii-Antique & Modern	10A	Ada Cohen	N/A	N/A	N/A	N/A	N/A
ARTH	10.01	22s	Art Ancient Egypt&Near East	12	Steven Kangas	NW	ART	N/A	N/A	N/A
ARTH	10.01	23w	Art Ancient Egypt&Near East	10	Steven Kangas	NW	ART	MES 16.41 01	N/A	N/A
ARTH	11.01	22f	Art in Ancient Greece	12	Steven Kangas	W	ART	N/A	N/A	N/A
ARTH	12.01	23w	Roman Art	12	Ada Cohen	W	ART	N/A	N/A	N/A
ARTH	17.01	22x	Rome: The Eternal City	10A	Nicola Camerlenghi	W	ART	N/A	N/A	N/A
ARTH	17.05	22x	Castle, Cloister, Cathedral	2A	Nicola Camerlenghi	W	ART	N/A	N/A	N/A
ARTH	18.01	22s	Ancient Art and Myth	2A	Steven Kangas	W	ART	N/A	N/A	N/A
ARTH	26.01	22s	FSP: History of Art in Rome	FS	Katherine Hornstein	N/A	ART	N/A	N/A	N/A
ARTH	26.02	22s	FSP: Early Modern Arch Rome	FS	Katherine Hornstein	W	ART	N/A	N/A	N/A
ARTH	26.03	22s	Foreign Study III	FS	Katherine Hornstein	N/A	ART	N/A	N/A	N/A
ARTH	28.05	22s	Art & Society in the Rococo	10	Kristin O'Rourke	W	ART	N/A	N/A	N/A
ARTH	28.1	22f	Fashion in Art	10A	Kristin O'Rourke	N/A	ART	N/A	N/A	N/A
ARTH	32.21	22f	Sacred Art&Arch of Japan	10	Allen Hockley	NW	ART	ASCL 62.10 01	N/A	N/A
ARTH	34.01	23w	Arts of Tibet	2	Xiaotian Yin	NW	ART	ASCL 52.02 01	N/A	N/A
ARTH	38.01	23w	Sacred Architecture of Asia	10	Allen Hockley	NW	INT or ART	ASCL 70.01 01	N/A	N/A
ARTH	43.01	23w	Feminist & Queer Video Art	3A	Solveig Nelson	N/A	N/A	N/A	N/A	N/A
ARTH	47.04	22f	Architecture & the Uncanny	2	Adedoyin Teriba	CI	ART	N/A	N/A	N/A
ARTH	47.05	23w	A Mirror Image	12	Adedoyin Teriba	N/A	N/A	N/A	N/A	N/A
ARTH	48.05	22f	Satire: Art Polit Critique	2	Kristin O'Rourke	W	ART	N/A	N/A	N/A
ARTH	61.71	22f	Italian Renaissance Arch.	10	Nicola Camerlenghi	W	ART	N/A	N/A	N/A
